distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
4334,1891.2803,14633.53185,54500.982489999995,57074.0163,11637.5052,11214.61678,RE-7,4716,IT-9,46171,21270.855,11141,15276,1379,-43.379793847789486
6132,12298.9759,40568.03872,53205.8885,49343.8708,31992.4839,44967.78552,RE-11,3808,IT-9,57057,27906.732999999997,14209,21913,1119,19.356035994966053
4731,17706.5439,36970.8141,8569.38552,44565.6203,33904.137,20652.00494,RE-7,3932,IT-10,50057,15411.533000000001,30061,20219,1582,32.52056366373308
6649,1856.9873,9121.533809999999,34708.29154,41703.8038,34335.3424,41509.21408,RE-A,2332,IT-5,61577,21448.702999999998,31457,19288,1328,0.3862994394341732
4841,15837.8125,3870.0170000000003,35094.812139999995,52185.2331,39706.2205,31818.934739999997,RE-6,1099,IT-1,53904,19765.652,7253,14522,1414,-9.24527268162039
6055,2924.7327,25374.88235,42891.554260000004,53830.2369,49171.2026,29968.050919999998,RE-11,3072,IT-F,48753,23447.548,2007,22070,1325,-2553.4001129072767
6928,8289.4158,7997.38449,23585.00462,60228.6189,37115.9004,25817.14455,RE-8,4009,IT-10,51212,33220.888,33833,20335,1355,21.744217649440127
6053,12990.4162,15058.76048,8644.60129,40245.9244,23488.8162,25203.248919999998,RE-2,4799,IT-2,31045,27957.179,27714,16284,1269,-4.1604628302484565
6307,16592.8737,32763.08585,3610.10144,39111.6158,41786.5417,37868.17557,RE-4,3820,IT-8,58987,36930.234,13973,11214,1705,54.9921319360462
3972,9361.6494,13297.21921,15005.72891,48532.2352,46484.2245,31111.13817,RE-10,1321,IT-B,26226,,11286,23919,1527,27.109349442250444
5965,4625.0721,6317.86815,8265.36952,42449.4175,28180.066000000003,38643.06085,RE-A,847,IT-A,80605,32062.347999999998,9242,9720,1548,13.822985828836828
5792,15175.9785,5713.63393,19396.536180000003,28160.092999999997,31603.9186,27140.16036,RE-F,1105,IT-9,47330,26193.771,9533,13796,1114,-7.063898449302589
4576,4433.9121,35369.77515,53090.986430000004,53087.687000000005,39476.4103,33959.48022,RE-2,3496,IT-B,46289,,3091,24854,1335,7.96786379771265
7148,12858.6544,41336.01693,41081.02973,62575.4407,24884.438,16227.66753,RE-2,2987,IT-A,34072,35555.053,29395,21981,1646,31.376516318539515
5203,16435.2094,8689.87698,17175.08209,29187.1218,40958.1723,22996.93176,RE-3,4658,IT-A,31672,25596.21,18360,13464,1606,10.902255417584712
2912,6091.8135,8235.10675,48962.520710000004,35604.6646,26809.6463,24877.28172,RE-0,4007,IT-F,28069,,4968,6364,1162,-39.7906739286853
3477,7806.189,19328.22185,1225.31231,30935.5003,41502.9628,21315.84147,RE-8,476,IT-B,69116,29442.943,23656,18300,1362,16.54147729242296
5523,4421.6839,34204.4841,26559.54923,17297.8154,41906.1973,28502.750030000003,RE-7,3149,IT-9,58297,14822.444,33216,11321,1213,-20.366822141194785
3929,18153.3319,34441.86343,29824.72646,47492.3682,54723.0876,26655.578830000002,RE-F,3750,IT-7,53623,25660.426,2412,16446,1171,-15.059747168484217
3979,9683.0982,25788.11332,59147.64099,57081.7706,50662.8496,37749.49019,RE-A,3568,IT-6,47397,20975.678,25312,9598,1522,4.777256498217097
6188,8854.2844,9476.51333,23183.13681,34285.0914,35507.3515,24257.58979,RE-C,4609,IT-4,59367,21654.369,31228,18774,1226,-2.455802942435275
6635,8420.5527,34924.5261,1758.2088600000002,44889.2799,29276.3107,26129.15127,RE-9,2028,IT-0,52891,19316.917,30428,17820,1193,-13.513285457896524
5411,14818.5714,12215.24952,16909.22928,37683.2455,45513.9644,32433.438560000002,RE-11,4222,IT-7,32018,,29257,11332,1312,17.344453263478087
6782,9390.6423,21368.14273,9898.10441,44371.8902,32837.6023,25509.973830000003,RE-6,2649,IT-5,37771,33891.827000000005,23386,16444,1315,-0.1757155865573441
6296,14835.6143,39962.98928,14401.45304,40946.7755,21636.692000000003,41022.48944,RE-1,2409,IT-13,63887,18818.436,22953,16660,1593,44.597923880916355
4701,13174.0109,13713.30785,10267.451990000001,55856.9437,48789.8874,30790.58502,RE-0,4191,IT-0,55199,22167.281000000003,4451,16771,806,0.2329348957471637
3812,1060.5101,29604.097339999997,11154.622370000001,26799.1034,28875.8681,37926.94058,RE-3,4665,IT-F,49131,16688.039,29788,12515,1075,-21.424563444912263
6085,16795.3357,40776.739910000004,40792.00287,41312.5927,35128.443999999996,42924.64366,RE-E,4300,IT-D,43567,30341.593999999997,11768,16135,1052,17.43822766986133
4416,6320.1827,43834.42705,58300.19624,30997.305,37121.4853,19224.31634,RE-4,959,IT-10,41815,32292.825,18785,11595,1367,3.406580791539412
6051,6672.9321,24977.6834,43082.00745,51209.9243,37145.7742,32226.98338,RE-2,1631,IT-1,31138,14626.716,13656,19855,1286,-39.29477688031878
7939,1663.8572,36891.598210000004,60935.0632,40072.4612,27348.1099,26070.91971,RE-1,3919,IT-13,59639,24690.311,23969,14280,1196,5.979991606844476
8076,3278.4874,18399.803659999998,33270.80073,38196.7006,32368.6196,38394.234769999995,RE-0,4237,IT-8,29738,27002.316000000003,6754,19125,1391,-15.318324663351357
6337,14145.2296,2224.94628,56317.429970000005,34319.3224,31943.4784,30299.83893,RE-F,3126,IT-B,51061,,19541,13880,1798,-5.724582974710453
5921,2908.1389,19754.99282,36020.70781,33581.8313,43604.7085,44172.64369,RE-E,1827,IT-A,18775,28160.077999999998,22292,17475,1153,-14.232135688914545
4877,15830.6665,1930.81047,9118.3138,50777.0847,45754.6242,30146.700760000003,RE-4,4641,IT-D,51934,36731.191,6592,19548,1478,192.2509554934274
5661,15947.0229,28264.10903,32490.67029,24309.7313,29609.188,26943.797560000003,RE-E,3784,IT-D,38692,23664.625,10458,7438,1117,-7.5114235477189615
6572,3916.5044,36693.604210000005,39010.809219999996,26142.7315,22820.1338,22796.848840000002,RE-2,3229,IT-8,48226,25962.395,18632,18098,1418,3.1199277208297573
4287,11619.5067,36363.13684,23514.45307,51471.4152,44677.1156,35475.67349,RE-11,4523,IT-D,48043,17984.777,629,9091,1372,-8.198537110300313
4634,11826.0959,32932.32137,59945.46035,66962.0959,23090.5643,11557.216209999999,RE-3,1588,IT-C,45822,,25503,15418,1264,-18.94266447430852
6246,3055.454,24382.12526,23574.50435,44257.8732,44850.3503,41298.35982,RE-0,2666,IT-9,52567,,11476,16964,1603,18.55382167707623
3718,17560.9405,27819.40791,41548.12008,19875.2236,43619.3799,39537.04791,RE-11,4046,IT-0,50539,,1910,15341,901,-15.766116877237598
3618,18344.7685,10068.84788,54090.31827999999,32067.3349,61230.0774,32719.83893,RE-3,1459,IT-1,75198,27431.961,30825,17218,1098,52.083960355760034
4279,10361.9463,13596.95849,47936.15955,44072.0513,21132.4306,40442.69026,RE-11,4779,IT-9,56202,29149.167,16335,22197,1157,8.244854331502815
6872,1515.2837,29159.41707,45760.94809,10843.6477,44546.5585,52994.71561,RE-10,1751,IT-10,60313,33589.029,12314,26208,1430,56.790144975976546
5342,5962.5873,16241.702919999998,6983.340279999999,31487.4418,52506.7792,21880.64462,RE-D,4139,IT-6,35712,35136.105,24746,20031,1215,-9.281464275027414
4904,17820.731,2340.9503600000003,49279.44333,26099.8488,33765.3056,19662.04391,RE-0,4024,IT-11,46749,25310.778,7443,18765,1129,4.12500835816381
3512,5309.7257,8188.39832,55613.782060000005,51503.6243,25566.1799,25404.952830000002,RE-7,3300,IT-12,2349,33029.379,15814,12362,1142,-34.75518520177755
7330,10629.9765,9335.32012,3436.6300899999997,37271.1906,44036.6813,35110.205989999995,RE-9,1067,IT-8,45688,27583.081000000002,839,11510,1342,-7.404850840882012
5125,16117.31,8668.005809999999,6865.85505,61293.2039,14837.9075,31573.32075,RE-10,2190,IT-3,24324,22306.839,31919,18587,837,-78.70948301650195
4437,11201.6776,33236.0162,23874.769659999998,42878.3796,29840.3003,43235.53079,RE-E,1277,IT-B,56624,25677.468999999997,3616,20151,1155,5.680292496602219
8306,4215.8523,32237.88109,5157.98099,49183.5415,44572.3955,36148.96462,RE-7,4934,IT-11,61137,25661.997000000003,12866,16070,1297,14.498296453081965
5736,6624.4614,37920.22732,42096.0518,43346.0615,33650.8162,14920.450190000001,RE-B,1435,IT-9,24025,22319.417999999998,9761,19539,1026,-48.14901850164927
5776,10057.9676,36120.59973,20681.83326,31900.6172,16826.806,22251.79308,RE-0,2078,IT-3,55918,22842.075,10823,13106,1266,-12.313982857481037
3989,10832.8687,2127.57407,46800.49843,49956.3511,40614.8074,29422.27415,RE-A,720,IT-B,34435,446.0,25881,11583,893,-89.49107111956938
5977,15851.2756,34504.346560000005,2873.5783300000003,36103.0802,32546.7226,22065.64295,RE-8,4823,IT-10,69943,,26661,21350,962,42.02917639306555
5320,2187.843,44004.85776,40716.67431,52427.6625,37617.3174,40794.624019999996,RE-9,3067,IT-7,23675,28864.706000000002,26783,18992,1241,-10.505608656050912
3070,12841.073999999999,34635.41156,2303.59578,38316.2714,20300.321,34455.01385,RE-4,3887,IT-6,51258,27376.444,33373,16392,1334,9.368224427951494
4743,3490.7371,8940.808809999999,52022.53078,64645.8046,24650.7079,28669.10695,RE-E,740,IT-8,70737,,23536,18510,1342,4.652283756622472
4724,8426.3537,15268.09369,38157.16496,35048.3189,33434.6423,29772.697119999997,RE-8,3774,IT-11,81745,37327.589,19427,12799,1358,81.68637432728956
4085,18542.0581,34621.59801,33910.77022,12084.0671,61283.6189,38176.65294,RE-9,2329,IT-F,66145,27656.423,1099,18107,924,38.25181287592334
5011,7835.5115,34242.70962,44091.94211,62439.2002,32637.0023,34777.88653,RE-6,4307,IT-F,44909,23453.017999999996,21377,9191,1878,17.711974776355305
4409,6473.344,8258.0067,55976.00223,19193.0939,22806.8554,30448.804969999997,RE-D,3200,IT-9,41544,20829.621,25691,11325,1590,-85.13202285603562
5097,18112.1975,26224.29191,11733.38717,45104.975,34034.371,18527.77474,RE-0,2746,IT-11,53515,32141.28,11820,11752,1074,3.91382258209481
3996,16402.552,15193.995490000001,23504.52143,34777.2902,29731.9362,37389.25758,RE-6,3385,IT-1,59960,23823.159,1459,12847,1041,-20.08113829470449
6865,8782.5674,44073.523369999995,47721.37882,50420.1282,18774.0351,40948.75252,RE-B,595,IT-C,27739,18464.473,2403,18127,1240,-27.94396989417726
5619,6857.6565,37993.79033,57615.66993,49903.21,18593.1166,36423.54955,RE-9,500,IT-A,55891,15912.611,10178,6927,1582,-21.555011573170837
3299,9289.5279,41658.97635,9842.78685,49372.562000000005,61653.8327,34858.92366,RE-4,4825,IT-9,50083,31181.172000000002,26390,15995,1178,28.330176669086583
4005,7552.0993,15113.23379,42787.207539999996,30580.5492,32060.5189,24607.29667,RE-1,4036,IT-E,32769,20331.819,33293,22223,1497,12.14377415699137
7363,14528.7968,14904.43695,53789.76234,47003.9903,33152.9861,33496.10872,RE-8,2559,IT-13,56437,24114.955,32061,15701,1189,20.63264103413021
3880,5722.8533,35744.79408,18577.31828,23715.1934,35386.9873,41665.43054,RE-C,3433,IT-3,44370,,8525,8728,1213,-3.3347931632627468
6907,10056.0471,36863.03217,35992.65183,28043.8103,31766.0356,17690.98076,RE-B,625,IT-4,21402,23474.712000000003,6075,11194,1145,-47.860134771824036
5279,10886.1918,17974.9518,22805.2618,56505.4691,25630.2627,6567.90349,RE-9,930,IT-5,35867,30913.603,431,24757,1516,-17.622037512995753
4236,1685.44,27356.84318,26263.200569999997,27033.6617,46117.3571,29788.95654,RE-6,706,IT-1,66066,15001.163,12645,10446,1870,-146.98291793017177
6154,2584.8854,21799.86807,10974.890959999999,49033.2695,24782.4862,34210.75892,RE-4,1804,IT-A,47384,34550.633,34398,12503,1354,-3.7310060148003945
4346,15347.0199,34007.75795,49320.37104,57680.3302,34237.5262,19917.33367,RE-2,2008,IT-F,35643,,34284,14726,1598,10.723219828235646
5727,8188.8956,8785.42993,44520.55013,23332.8278,21614.8129,43684.90838,RE-9,1892,IT-4,35651,12693.258,7994,22893,1629,-6.725017892725344
5257,10365.0196,41074.089439999996,17498.641509999998,30047.0809,28837.7214,29733.026869999998,RE-4,3926,IT-4,55868,37636.252,13717,13980,1208,98.29207040548894
5748,14146.8549,33172.39864,15944.32661,34871.1301,42506.8122,40153.75671,RE-3,2866,IT-6,26373,17781.515,20121,7815,1202,-19.5136271911858
5409,14017.8234,19145.23344,12919.3504,37191.2583,48592.0134,16134.495340000001,RE-8,581,IT-10,42577,26824.415,32293,13848,1360,10.190773430999755
4413,16761.519,16229.4465,40321.556489999995,33296.059,25970.856,32261.194760000002,RE-F,777,IT-6,34814,22822.679,32415,7133,1625,-2.481360181580138
2773,2893.7404,30725.27343,42513.56589,30551.8716,45072.8088,24520.856659999998,RE-1,1159,IT-4,56086,16977.255,5290,14941,1282,-39.80829336739044
3284,1484.3044,17349.61736,21234.59511,25864.6563,21268.6432,37454.38556,RE-2,2400,IT-B,39223,24558.884,12989,12723,1447,-20.056241393241336
5426,17861.5505,13580.80625,23548.68581,49793.0952,45914.8938,31704.16552,RE-8,845,IT-12,51788,31314.38,31597,9170,1389,49.93980642133865
5592,11612.8037,18335.2313,53695.35695,43988.2334,41539.3333,22424.7165,RE-1,3728,IT-11,59029,34390.022000000004,7408,10839,1203,3.417054721359207
5106,12476.1258,43849.87256,10204.77759,29479.1579,38758.4336,34977.85546,RE-3,4078,IT-11,13574,35740.885,10293,27251,1726,53.51217366629598
3800,16863.5663,22172.12442,35633.62461,16240.3196,27184.8482,28029.85789,RE-1,2786,IT-9,52916,,15124,16946,1670,49.61666303091111
4420,5931.4786,35787.26376,31062.88638,16030.306,22243.6004,22390.928069999998,RE-5,3347,IT-B,72961,36542.239,2549,15639,1432,28.766293261729174
8148,18034.0324,7090.3949299999995,31805.705169999997,32136.3372,27041.6435,19384.604069999998,RE-6,3181,IT-12,42242,,30844,15500,1097,10.03735472958966
5712,2345.7777,5107.7442200000005,33061.765419999996,33291.1752,41500.572,36352.84876,RE-7,1933,IT-2,70544,14095.643,7038,9166,1513,-23.862834990661774
8495,17297.1522,23306.70806,12863.77909,37176.0111,49600.6828,42521.424680000004,RE-11,3675,IT-E,52312,13502.528999999999,5414,12064,2172,54.6338398947669
6012,3555.9406,17731.94799,8177.036359999999,31040.1972,42854.1032,9497.713759999999,RE-A,2826,IT-1,44946,16876.488999999998,15085,8829,1311,-58.655833945892994
3714,1134.1869,36566.95642,55143.49019,51619.6702,30440.2035,41767.533789999994,RE-8,729,IT-10,64450,40457.331,34095,6772,1298,21.32489617663449
2429,9512.426,44147.39738,47524.90704,38660.6467,43635.1998,15578.4013,RE-D,2138,IT-6,31126,23201.502,26543,19504,910,-34.580610771199105
3944,8157.0805,43601.238260000006,59093.03392,49919.0061,16031.1077,12409.80773,RE-E,1135,IT-4,20627,28626.217999999997,21219,7457,1414,-37.10211094638721
4908,16980.9237,17635.89931,2354.33893,32189.1858,47473.6712,33007.67631,RE-C,1819,IT-9,24596,37101.987,8832,14809,1551,33.36155922176205
