id,y,pred
293,0,0
294,0,0
295,1,1
296,1,1
297,3,3
298,2,2
299,3,3
300,1,1
301,1,1
302,1,1
303,4,4
304,1,1
305,4,4
306,1,1
307,3,3
308,2,2
309,3,3
310,0,0
311,2,2
312,4,4
313,3,3
314,3,3
315,4,4
316,1,1
317,4,4
318,2,2
319,2,2
320,2,2
321,4,4
322,0,0
323,0,0
324,1,1
325,3,3
326,3,3
327,4,4
328,2,2
329,0,0
330,3,3
331,1,1
332,1,1
333,3,3
334,0,0
335,1,1
336,2,2
337,3,3
338,0,0
339,0,0
340,4,4
341,4,4
342,4,4
343,3,3
344,0,0
345,0,0
346,0,0
347,1,1
348,0,0
349,2,2
350,1,1
351,1,1
352,3,3
353,2,2
354,4,4
355,0,0
356,3,3
357,1,1
358,2,2
359,3,3
360,0,0
361,3,3
362,1,1
363,2,2
364,4,4
365,1,1
366,0,0
367,0,0
368,4,4
369,2,2
370,0,0
371,2,2
372,1,1
373,2,2
374,4,4
375,0,0
376,1,1
377,1,1
378,2,2
379,3,3
380,1,1
381,0,0
382,3,3
383,3,3
384,1,1
385,0,0
386,3,3
387,4,4
388,1,1
389,3,3
390,0,0
391,2,2
392,2,2
393,1,1
394,1,1
395,0,0
396,0,0
397,3,3
398,3,3
399,1,1
400,3,3
401,2,2
402,2,2
403,0,0
404,1,1
405,0,0
406,1,1
407,4,4
408,4,4
409,4,4
410,1,1
411,2,2
412,0,0
413,0,0
414,4,4
415,2,2
416,3,3
417,4,4
418,1,1
419,1,1
420,3,3
421,0,0
422,3,3
423,2,2
424,3,3
425,3,3
426,3,3
427,4,4
428,0,0
429,3,3
430,2,2
431,0,0
432,1,1
433,4,4
434,2,2
435,3,3
436,0,0
437,4,4
438,4,4
439,1,1
440,4,4
441,3,3
442,3,3
443,2,2
444,3,3
445,3,3
446,4,4
447,2,2
448,4,4
449,3,3
450,3,3
451,2,2
452,4,4
453,1,1
454,0,0
455,2,2
456,4,4
457,4,4
458,3,3
459,1,1
460,0,0
461,1,1
462,1,1
463,4,4
464,1,1
465,1,1
466,4,4
467,2,2
468,0,0
469,3,3
470,2,2
471,1,1
472,0,0
473,1,1
474,4,4
475,0,0
476,4,4
477,0,0
478,3,3
479,4,4
480,4,4
481,4,4
482,3,3
483,4,4
484,0,0
485,1,1
486,0,0
487,1,1
488,3,3
489,4,4
490,1,1
491,3,3
492,4,4
493,4,4
494,0,0
495,2,2
496,2,2
497,4,4
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,4,4
504,4,4
505,1,1
506,1,1
507,3,3
508,1,1
509,2,2
510,1,1
511,3,3
512,2,2
513,3,3
514,2,2
515,3,3
516,2,2
517,1,1
518,4,4
519,0,0
520,2,2
521,0,0
522,3,3
523,2,2
524,1,1
525,1,1
526,2,2
527,2,2
528,4,4
529,4,4
530,3,3
531,2,2
532,1,1
533,4,4
534,2,2
535,2,2
536,4,4
537,4,4
538,3,3
539,1,1
540,1,1
541,1,1
542,1,1
543,4,4
544,0,0
545,2,2
546,4,4
547,0,0
548,4,4
549,2,2
550,1,1
551,1,1
552,3,3
553,3,3
554,2,2
555,1,1
556,4,4
557,0,0
558,1,1
559,4,4
560,4,4
561,1,1
562,3,3
563,0,0
564,1,1
565,2,2
566,4,4
567,1,1
568,1,1
569,1,1
570,0,0
571,0,0
572,2,2
573,0,0
574,4,4
575,3,3
576,0,0
577,4,4
578,4,4
579,4,4
580,2,2
581,2,2
582,2,2
583,2,2
584,4,4
585,0,0
586,4,4
587,3,3
588,3,3
589,0,0
590,2,2
591,0,0
592,1,1
593,2,2
594,1,1
595,0,0
596,4,4
597,3,3
598,3,3
599,4,4
600,0,0
601,4,4
602,4,4
603,2,2
604,3,3
605,4,4
606,1,1
607,4,4
608,4,4
609,1,1
610,4,4
611,3,3
612,0,0
613,1,1
614,0,0
615,1,1
616,0,0
617,1,1
618,4,4
619,0,0
620,2,2
621,2,2
622,3,3
623,2,2
624,0,0
625,2,2
626,2,2
627,4,4
628,3,3
629,1,1
630,2,2
631,1,1
632,4,4
633,3,3
634,3,3
635,2,2
636,4,4
637,2,2
638,4,4
639,1,1
640,1,1
641,4,4
642,3,3
643,0,0
644,2,2
645,0,0
646,1,1
647,1,1
648,4,4
649,1,1
650,0,0
651,2,2
652,4,4
653,3,3
654,3,3
655,2,2
656,0,0
657,4,4
658,0,0
659,3,3
660,1,1
661,2,2
662,2,2
663,2,2
664,4,4
665,3,3
666,3,3
667,2,2
668,2,2
669,1,1
670,2,2
671,0,0
672,0,0
673,1,1
674,1,1
675,1,1
676,0,0
677,1,1
678,1,1
679,4,4
680,4,4
681,1,1
682,2,2
683,2,2
684,4,4
685,3,3
686,2,2
687,0,0
688,1,1
689,1,1
690,0,0
691,4,4
692,1,1
693,0,0
694,2,2
695,4,4
696,4,4
697,1,1
698,2,2
699,0,0
700,1,1
701,3,3
702,2,2
703,1,1
704,1,1
705,1,1
706,3,3
707,3,3
708,0,0
709,1,1
710,4,4
711,0,0
712,4,4
713,0,0
714,0,0
715,1,1
716,3,3
717,4,4
718,1,1
719,3,3
720,4,4
721,4,4
722,0,0
723,3,3
724,2,2
725,3,3
726,1,1
727,1,1
728,2,2
729,1,1
730,3,3
731,0,0
732,4,4
733,1,1
734,1,1
735,4,4
736,3,3
737,0,0
738,2,2
739,0,0
740,3,3
741,2,2
742,0,0
743,4,4
744,0,0
745,4,4
746,4,4
747,3,3
748,3,3
749,1,1
750,4,4
751,3,3
752,1,1
753,2,2
754,1,1
755,1,1
756,2,2
757,3,3
758,2,2
759,1,1
760,2,2
761,2,2
762,2,2
763,0,0
764,0,0
765,2,2
766,4,4
767,3,3
768,0,0
769,2,2
770,3,3
771,2,2
772,4,4
773,0,0
774,2,2
775,1,1
776,1,1
777,4,4
778,4,4
779,2,2
780,0,0
781,2,2
782,1,1
783,3,3
784,4,4
785,2,2
786,0,0
787,0,0
788,4,4
789,1,1
790,1,1
791,2,2
792,4,4
793,1,1
794,3,3
795,1,1
796,4,4
797,0,0
798,4,4
799,1,1
800,3,3
801,2,2
802,3,3
803,2,2
804,2,2
805,2,2
806,1,1
807,4,4
808,0,0
809,3,3
810,1,1
811,2,2
812,4,4
813,4,4
814,2,2
815,3,3
816,3,3
817,1,1
818,0,0
819,3,3
820,0,0
821,4,4
822,4,4
823,3,3
824,0,0
825,2,2
826,0,0
827,2,2
828,0,0
829,0,0
830,0,0
831,3,3
832,4,4
833,2,2
834,1,1
835,4,4
836,3,3
837,0,0
838,2,2
839,0,0
840,0,0
841,2,2
842,0,0
843,4,4
844,3,3
845,4,4
846,4,4
847,3,3
848,3,3
849,2,2
850,3,3
851,2,2
852,1,1
853,1,1
854,2,2
855,0,0
856,2,2
857,3,3
858,3,3
859,4,4
860,2,2
861,3,3
862,4,4
863,1,1
864,3,3
865,1,1
866,2,2
867,4,4
868,3,3
869,0,0
870,2,2
871,2,2
872,2,2
873,4,4
874,0,0
875,1,1
876,2,2
877,3,3
878,4,4
879,2,2
880,2,2
881,3,3
882,2,2
883,4,4
884,0,0
885,4,4
886,3,3
887,4,4
888,3,3
889,2,2
890,4,4
891,2,2
892,3,3
893,0,0
894,3,3
895,4,4
896,0,0
897,3,3
898,4,4
899,1,1
900,4,4
901,1,1
902,1,1
903,4,4
904,0,0
905,2,2
906,1,1
907,0,0
908,1,1
909,0,0
910,2,2
911,0,0
912,2,2
913,0,0
914,1,1
915,1,1
916,4,4
917,0,0
918,0,0
919,4,4
920,0,0
921,1,1
922,4,4
923,1,1
924,0,0
925,2,2
926,4,4
927,1,1
928,2,2
929,1,1
930,3,3
931,3,3
932,1,1
933,1,1
934,3,3
935,3,3
936,0,0
937,3,3
938,3,3
939,1,1
940,2,2
941,4,4
942,0,0
943,1,1
944,2,2
945,2,2
946,4,4
947,1,1
948,4,4
949,4,4
950,1,1
951,3,3
952,4,4
953,0,0
954,2,2
955,1,1
956,0,0
957,0,0
958,4,4
959,0,0
960,1,1
961,0,0
962,0,0
963,0,0
964,3,3
965,1,1
966,3,3
967,0,0
968,1,1
969,0,0
970,1,1
971,1,1
972,0,0
973,0,0
974,4,4
975,0,0
976,1,1
977,2,2
978,0,0
979,1,1
980,4,4
981,2,2
982,3,3
983,3,3
984,4,4
985,0,0
986,0,0
987,2,2
988,3,3
989,3,3
990,3,3
991,1,1
992,0,0
993,3,3
994,0,0
995,2,2
996,4,4
997,4,4
998,0,0
999,1,1
1000,4,4
1001,3,3
1002,3,3
1003,1,1
1004,0,0
1005,4,4
1006,0,0
1007,4,4
1008,4,4
1009,1,1
1010,0,0
1011,1,1
1012,0,0
1013,1,1
1014,3,3
1015,1,1
1016,3,3
1017,0,0
1018,4,4
1019,3,3
1020,4,4
1021,2,2
1022,1,1
1023,0,0
1024,3,3
1025,1,1
1026,0,0
1027,1,1
1028,0,0
1029,0,0
1030,1,1
1031,3,3
1032,1,1
1033,4,4
1034,1,1
1035,2,2
1036,3,3
1037,4,4
1038,3,3
1039,3,3
1040,1,1
1041,2,2
1042,2,2
1043,0,0
1044,3,3
1045,4,4
1046,4,4
1047,2,2
1048,2,2
1049,1,1
1050,2,2
1051,3,3
1052,3,3
1053,3,3
1054,4,4
1055,2,2
1056,1,1
1057,1,1
1058,3,3
1059,0,0
1060,3,3
1061,3,3
1062,3,3
1063,3,3
1064,0,0
1065,0,0
1066,4,4
1067,2,2
1068,2,2
1069,2,2
1070,2,2
1071,3,3
1072,2,2
1073,4,4
1074,0,0
1075,1,1
1076,3,3
1077,1,1
1078,4,4
1079,1,1
1080,0,0
1081,3,3
1082,1,1
1083,4,4
1084,3,3
1085,4,4
1086,2,2
1087,0,0
1088,0,0
1089,1,1
1090,1,1
1091,1,1
1092,2,2
1093,1,1
1094,3,3
1095,2,2
1096,4,4
1097,1,1
1098,4,4
1099,4,4
1100,0,0
1101,0,0
1102,2,2
1103,0,0
1104,4,4
1105,3,3
1106,1,1
1107,4,4
1108,3,3
1109,0,0
1110,1,1
1111,2,2
1112,1,1
1113,4,4
1114,0,0
1115,1,1
1116,3,3
1117,4,4
1118,0,0
1119,0,0
1120,4,4
1121,2,2
1122,4,4
1123,4,4
1124,0,0
1125,3,3
1126,0,0
1127,0,0
1128,3,3
1129,3,3
1130,0,0
1131,3,3
1132,0,0
1133,0,0
1134,4,4
1135,1,1
1136,0,0
1137,0,0
1138,4,4
1139,4,4
1140,0,0
1141,2,2
1142,3,3
1143,3,3
1144,4,4
1145,2,2
1146,2,2
1147,1,1
1148,2,2
1149,1,1
1150,4,4
1151,3,3
1152,0,0
1153,4,4
1154,0,0
1155,4,4
1156,4,4
1157,0,0
1158,0,0
1159,4,4
1160,2,2
1161,2,2
1162,2,2
1163,2,2
1164,4,4
1165,0,0
1166,0,0
1167,0,0
1168,0,0
1169,4,4
1170,4,4
1171,1,1
1172,2,2
1173,1,1
1174,4,4
1175,4,4
1176,2,2
1177,1,1
1178,4,4
1179,3,3
1180,0,0
1181,2,2
1182,0,0
1183,2,2
1184,4,4
1185,2,2
1186,4,4
1187,4,4
1188,1,1
1189,1,1
1190,2,2
1191,0,0
1192,1,1
1193,1,1
1194,4,4
1195,1,1
1196,3,3
1197,2,2
1198,3,3
1199,0,0
1200,4,4
1201,0,0
1202,2,2
1203,4,4
1204,4,4
1205,0,0
1206,3,3
1207,2,2
1208,0,0
1209,2,2
1210,3,3
1211,0,0
1212,1,1
1213,3,3
1214,3,3
1215,1,1
1216,2,2
1217,1,1
1218,4,4
1219,4,4
1220,1,1
1221,0,0
1222,4,4
1223,1,1
1224,2,2
1225,0,0
1226,1,1
1227,4,4
1228,3,3
1229,1,1
1230,1,1
1231,1,1
1232,0,0
1233,2,2
1234,1,1
1235,1,1
1236,0,0
1237,0,0
1238,2,2
1239,2,2
1240,0,0
1241,0,0
1242,0,0
1243,0,0
1244,4,4
1245,0,0
1246,3,3
1247,0,0
1248,4,4
1249,4,4
1250,2,2
1251,0,0
1252,3,3
1253,3,3
1254,2,2
1255,1,1
1256,1,1
1257,3,3
1258,3,3
1259,3,3
1260,1,1
1261,1,1
1262,4,4
1263,2,2
1264,1,1
1265,3,3
1266,3,3
1267,2,2
1268,0,0
1269,1,1
1270,2,2
1271,2,2
1272,1,1
1273,3,3
1274,0,0
1275,4,4
1276,3,3
1277,0,0
1278,3,3
1279,3,3
1280,4,4
1281,3,3
1282,3,3
1283,0,0
1284,3,3
1285,1,1
1286,2,2
1287,2,2
1288,2,2
1289,2,2
1290,3,3
1291,3,3
1292,0,0
1293,1,1
1294,3,3
1295,4,4
1296,1,1
1297,2,2
1298,0,0
1299,4,4
1300,0,0
1301,4,4
1302,0,0
1303,4,4
1304,2,2
1305,3,3
1306,3,3
1307,0,0
1308,0,0
1309,2,2
1310,1,1
1311,1,1
1312,1,1
1313,4,4
1314,3,3
1315,1,1
1316,0,0
1317,2,2
1318,0,0
1319,4,4
1320,2,2
1321,1,1
1322,3,3
1323,4,4
1324,0,0
1325,3,3
1326,4,4
1327,3,3
1328,1,1
1329,1,1
1330,3,3
1331,1,1
1332,2,2
1333,2,2
1334,3,3
1335,3,3
1336,4,4
1337,4,4
1338,3,3
1339,2,2
1340,2,2
1341,2,2
1342,4,4
1343,1,1
1344,4,4
1345,2,2
1346,3,3
1347,3,3
1348,4,4
1349,3,3
1350,2,2
1351,3,3
1352,0,0
1353,4,4
1354,1,1
1355,1,1
1356,4,4
1357,3,3
1358,0,0
1359,4,4
1360,1,1
1361,0,0
1362,3,3
1363,3,3
1364,3,3
1365,1,1
1366,4,4
1367,3,3
1368,2,2
1369,4,4
1370,2,2
1371,0,0
1372,2,2
1373,3,3
1374,0,0
1375,1,1
1376,3,3
1377,2,2
1378,0,0
1379,2,2
1380,2,2
1381,3,3
1382,1,1
1383,0,0
1384,0,0
1385,1,1
1386,3,3
1387,1,1
1388,3,3
1389,0,0
1390,0,0
1391,4,4
1392,2,2
1393,4,4
1394,1,1
1395,1,1
1396,1,1
1397,2,2
1398,1,1
1399,0,0
1400,4,4
1401,4,4
1402,3,3
1403,2,2
1404,4,4
1405,1,1
1406,3,3
1407,2,2
1408,1,1
1409,0,0
1410,4,4
1411,3,3
1412,2,2
1413,4,4
1414,2,2
1415,4,4
1416,1,1
1417,0,0
1418,0,0
1419,4,4
1420,1,1
1421,1,1
1422,0,0
1423,2,2
1424,4,4
1425,1,1
1426,1,1
1427,0,0
1428,0,0
1429,4,4
1430,0,0
1431,2,2
1432,0,0
1433,1,1
1434,2,2
1435,2,2
1436,3,3
1437,2,2
1438,4,4
1439,4,4
1440,1,1
1441,4,4
1442,0,0
1443,0,0
1444,2,2
1445,4,4
1446,1,1
1447,1,1
1448,1,1
1449,0,0
1450,1,1
1451,0,0
1452,3,3
1453,3,3
1454,3,3
1455,2,2
1456,2,2
1457,0,0
1458,3,3
1459,1,1
1460,4,4
1461,4,4
1462,3,3
1463,1,1
1464,1,1
1465,3,3
1466,2,2
1467,2,2
1468,2,2
1469,0,0
1470,4,4
1471,0,0
1472,1,1
1473,2,2
1474,1,1
1475,4,4
1476,3,3
1477,0,0
1478,3,3
1479,0,0
1480,3,3
1481,0,0
1482,3,3
1483,4,4
1484,3,3
1485,3,3
1486,0,0
1487,3,3
1488,3,3
1489,2,2
1490,1,1
1491,1,1
1492,1,1
1493,0,0
1494,1,1
1495,2,2
1496,0,0
1497,0,0
1498,2,2
1499,0,0
1500,2,2
1501,4,4
1502,0,0
1503,2,2
1504,1,1
1505,2,2
1506,1,1
1507,1,1
1508,1,1
1509,3,3
1510,2,2
1511,3,3
1512,1,1
1513,1,1
1514,0,0
1515,2,2
1516,1,1
1517,1,1
1518,0,0
1519,1,1
1520,0,0
1521,4,4
1522,2,2
1523,2,2
1524,0,0
1525,3,3
1526,0,0
1527,1,1
1528,3,3
1529,1,1
1530,2,2
1531,2,2
1532,3,3
1533,3,3
1534,0,0
1535,3,3
1536,4,4
1537,3,3
1538,4,4
1539,1,1
1540,4,4
1541,2,2
1542,0,0
1543,4,4
1544,3,3
1545,0,0
1546,0,0
1547,1,1
1548,2,2
1549,1,1
1550,1,1
1551,3,3
1552,4,4
1553,2,2
1554,2,2
1555,4,4
1556,0,0
1557,3,3
1558,0,0
1559,3,3
1560,2,2
1561,0,0
1562,1,1
1563,0,0
1564,1,1
1565,0,0
1566,3,3
1567,4,4
1568,0,0
1569,0,0
1570,1,1
1571,1,1
1572,3,3
1573,3,3
1574,4,4
1575,0,0
1576,3,3
1577,1,1
1578,3,3
1579,1,1
1580,4,4
1581,3,3
1582,1,1
1583,2,2
1584,3,3
1585,1,1
1586,0,0
1587,3,3
1588,1,1
1589,3,3
1590,2,2
1591,1,1
1592,0,0
1593,3,3
1594,2,2
1595,4,4
1596,3,3
1597,1,1
1598,1,1
1599,0,0
1600,2,2
1601,1,1
1602,3,3
1603,2,2
1604,3,3
1605,0,0
1606,0,0
1607,2,2
1608,2,2
1609,1,1
1610,2,2
1611,3,3
1612,1,1
1613,3,3
1614,0,0
1615,4,4
1616,4,4
1617,4,4
1618,3,3
1619,0,0
1620,0,0
1621,0,0
1622,4,4
1623,2,2
1624,3,3
1625,3,3
1626,2,2
1627,3,3
1628,4,4
1629,2,2
1630,4,4
1631,2,2
1632,1,1
1633,4,4
1634,3,3
1635,1,1
1636,0,0
1637,4,4
1638,4,4
1639,3,3
1640,4,4
1641,1,1
1642,3,3
1643,4,4
1644,2,2
1645,4,4
1646,2,2
1647,0,0
1648,2,2
1649,2,2
1650,3,3
1651,3,3
1652,3,3
1653,2,2
1654,3,3
1655,1,1
1656,0,0
1657,2,2
1658,1,1
1659,4,4
1660,3,3
1661,4,4
1662,3,3
1663,3,3
1664,4,4
1665,0,0
1666,3,3
1667,4,4
1668,3,3
1669,0,0
1670,4,4
1671,1,1
1672,1,1
1673,4,4
1674,1,1
1675,2,2
1676,3,3
1677,1,1
1678,3,3
1679,1,1
1680,4,4
1681,2,2
1682,2,2
1683,2,2
1684,3,3
1685,0,0
1686,4,4
1687,4,4
1688,0,0
1689,3,3
1690,3,3
1691,1,1
1692,2,2
1693,4,4
1694,1,1
1695,1,1
1696,3,3
1697,2,2
1698,3,3
1699,1,1
1700,0,0
1701,1,1
1702,1,1
1703,0,0
1704,3,3
1705,2,2
1706,0,0
1707,0,0
1708,3,3
1709,1,1
1710,4,4
1711,3,3
1712,0,0
1713,1,1
1714,3,3
1715,1,1
1716,4,4
1717,0,0
1718,2,2
1719,2,2
1720,3,3
1721,0,0
1722,2,2
1723,0,0
1724,0,0
1725,0,0
1726,0,0
1727,0,0
1728,3,3
1729,2,2
1730,1,1
1731,2,2
1732,4,4
1733,2,2
1734,1,1
1735,2,2
1736,3,3
1737,2,2
1738,2,2
1739,0,0
1740,2,2
1741,1,1
1742,0,0
1743,3,3
1744,1,1
1745,0,0
1746,4,4
1747,2,2
1748,4,4
1749,0,0
1750,4,4
1751,4,4
1752,0,0
1753,2,2
1754,4,4
1755,2,2
1756,3,3
1757,1,1
1758,4,4
1759,1,1
1760,3,3
1761,2,2
1762,4,4
1763,4,4
1764,0,0
1765,1,1
1766,3,3
1767,1,1
1768,1,1
1769,0,0
1770,3,3
1771,1,1
1772,3,3
1773,2,2
1774,2,2
1775,0,0
1776,2,2
1777,0,0
1778,1,1
1779,4,4
1780,2,2
1781,3,3
1782,3,3
1783,4,4
1784,1,1
1785,3,3
1786,0,0
1787,2,2
1788,4,4
1789,2,2
1790,3,3
1791,1,1
1792,2,2
1793,4,4
1794,2,2
1795,3,3
1796,4,4
1797,2,2
1798,2,2
1799,2,2
1800,0,0
1801,3,3
1802,4,4
1803,0,0
1804,3,3
1805,3,3
1806,4,4
1807,3,3
1808,1,1
1809,4,4
1810,3,3
1811,3,3
1812,0,0
1813,1,1
1814,4,4
1815,1,1
1816,3,3
1817,2,2
1818,3,3
1819,0,0
1820,2,2
1821,0,0
1822,2,2
1823,3,3
1824,2,2
1825,3,3
1826,3,3
1827,3,3
1828,0,0
1829,0,0
1830,0,0
1831,1,1
1832,0,0
1833,1,1
1834,1,1
1835,3,3
1836,4,4
1837,1,1
1838,3,3
1839,1,1
1840,0,0
1841,1,1
1842,0,0
1843,2,2
1844,0,0
1845,1,1
1846,4,4
1847,3,3
1848,3,3
1849,0,0
1850,0,0
1851,0,0
1852,2,2
1853,0,0
1854,4,4
1855,4,4
1856,4,4
1857,3,3
1858,1,1
1859,4,4
1860,2,2
1861,2,2
1862,2,2
1863,4,4
1864,3,3
1865,0,0
1866,1,1
1867,1,1
1868,2,2
1869,3,3
1870,3,3
1871,4,4
1872,0,0
1873,0,0
1874,2,2
1875,1,1
1876,4,4
1877,4,4
1878,0,0
1879,1,1
1880,2,2
1881,3,3
1882,2,2
1883,1,1
1884,0,0
1885,3,3
1886,3,3
1887,4,4
1888,3,3
1889,2,2
1890,1,1
1891,2,2
1892,1,1
1893,4,4
1894,2,2
1895,0,0
1896,1,1
1897,2,2
1898,0,0
1899,1,1
1900,1,1
1901,2,2
1902,0,0
1903,0,0
1904,1,1
1905,1,1
1906,1,1
1907,3,3
1908,0,0
1909,2,2
1910,4,4
1911,3,3
1912,4,4
1913,4,4
1914,1,1
1915,2,2
1916,1,1
1917,0,0
1918,2,2
1919,4,4
1920,3,3
1921,0,0
1922,3,3
1923,1,1
1924,3,3
1925,3,3
1926,3,3
1927,0,0
1928,4,4
1929,2,2
1930,4,4
1931,0,0
1932,4,4
1933,1,1
1934,4,4
1935,2,2
1936,1,1
1937,1,1
1938,3,3
1939,2,2
1940,1,1
1941,0,0
1942,1,1
1943,0,0
1944,2,2
1945,0,0
1946,4,4
1947,0,0
1948,0,0
1949,3,3
1950,4,4
1951,0,0
1952,2,2
1953,1,1
1954,1,1
1955,2,2
1956,0,0
1957,3,3
1958,3,3
1959,2,2
1960,4,4
1961,1,1
1962,1,1
1963,3,3
1964,2,2
1965,4,4
1966,2,2
1967,2,2
1968,3,3
1969,2,2
1970,4,4
1971,2,2
1972,4,4
1973,0,0
1974,2,2
1975,2,2
1976,3,3
1977,1,1
1978,0,0
1979,4,4
1980,4,4
1981,0,0
1982,3,3
1983,1,1
1984,3,3
1985,4,4
1986,0,0
1987,3,3
1988,2,2
1989,3,3
1990,4,4
1991,0,0
1992,4,4
1993,2,2
1994,3,3
1995,4,4
1996,4,4
1997,1,1
1998,1,1
1999,4,4
2000,4,4
2001,1,1
2002,4,4
2003,1,1
2004,3,3
2005,1,1
2006,1,1
2007,4,4
2008,3,3
2009,2,2
2010,0,0
2011,4,4
2012,0,0
2013,2,2
2014,4,4
2015,4,4
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,1,1
2023,1,1
2024,2,2
2025,3,3
2026,1,1
2027,1,1
2028,0,0
2029,3,3
2030,0,0
2031,4,4
2032,3,3
2033,0,0
2034,4,4
2035,4,4
2036,1,1
2037,2,2
2038,4,4
2039,0,0
2040,4,4
2041,0,0
2042,0,0
2043,4,4
2044,4,4
2045,0,0
2046,4,4
2047,1,1
2048,0,0
2049,3,3
2050,4,4
2051,1,1
2052,1,1
2053,4,4
2054,3,3
2055,2,2
2056,0,0
2057,0,0
2058,3,3
2059,1,1
2060,1,1
2061,0,0
2062,1,1
2063,0,0
2064,0,0
2065,2,2
2066,2,2
2067,1,1
2068,4,4
2069,1,1
2070,0,0
2071,0,0
2072,4,4
2073,4,4
2074,3,3
2075,3,3
2076,1,1
2077,3,3
2078,3,3
2079,0,0
2080,1,1
2081,4,4
2082,4,4
2083,3,3
2084,4,4
2085,3,3
2086,1,1
2087,3,3
2088,1,1
2089,2,2
2090,4,4
2091,2,2
2092,4,4
2093,2,2
2094,1,1
2095,0,0
2096,1,1
2097,3,3
2098,1,1
2099,3,3
2100,2,2
2101,0,0
2102,1,1
2103,4,4
2104,2,2
2105,2,2
2106,2,2
2107,3,3
2108,4,4
2109,0,0
2110,3,3
2111,1,1
2112,2,2
2113,3,3
2114,0,0
2115,3,3
2116,0,0
2117,0,0
2118,3,3
2119,1,1
2120,1,1
2121,2,2
2122,4,4
2123,0,0
2124,1,1
2125,1,1
2126,4,4
2127,2,2
2128,0,0
2129,2,2
2130,2,2
2131,4,4
2132,3,3
2133,4,4
2134,1,1
2135,0,0
2136,2,2
2137,3,3
2138,3,3
2139,1,1
2140,1,1
